code,name,region,cls,size,revenue,visits,volume,avg_invoice,avg_liters,daily_rev,peak_rev_h,peak_vis_h,g95,g91,diesel,app_pct,cash_pct,card_pct,growth,campaign
MK007,العمرة الجديدة,مكة,حيوية,كبيرة جداً,49590690,766648,23493282,64.69,30.64,273982,17,17,36.2,35.7,28.1,0.6,53.0,43.7,-22.3,نعم
MK289,طريق الليث - الفضيلة,جدة,خط سفر,,28047704,333050,14552120,84.21,43.69,159362,17,17,13.2,22.8,64.1,0.0,20.4,9.0,27.3,
MK072,العزيزية,مكة,حيوية,,20528975,424628,2916708,48.35,22.44,114050,16,17,23.1,63.5,13.4,0.0,92.2,1.2,-21.1,
MK003,العوالي,مكة,خط سفر,كبيرة,20001382,324068,8841940,61.72,27.28,219795,17,17,49.8,50.2,0.0,0.0,36.4,57.4,,
MK047,القادسية,مكة,حيوية,,18281399,308074,8679738,59.34,28.17,101002,17,17,36.9,35.4,27.7,0.0,100.0,0.0,-9.0,
MK028,أحلى مساء,الطائف,مختلط,,17320811,256011,7729931,67.66,30.19,95695,17,17,45.3,46.5,8.2,0.0,100.0,0.0,-11.9,
MK029,الدائري الثالث - الذكرى,مكة,حيوية,,16855372,283446,2676944,59.47,27.24,93124,17,21,36.4,40.6,23.1,3.8,48.8,44.0,-3.4,
MK033,أبو وافي العمرة,مكة,خط سفر,,15775248,249705,7806709,63.18,31.26,87156,19,19,20.6,33.7,45.8,0.0,89.4,7.0,-21.7,
RY075,الدائري الشمالي,الرياض,حيوية,,15719285,211558,4791911,74.3,33.57,86847,20,20,45.1,47.4,7.6,0.0,24.7,67.3,15.1,
MK004,عاصفة الصحراء,الطائف,حيوية,,15598002,194466,7467484,80.21,38.4,171407,17,17,31.2,34.4,34.4,0.0,44.1,47.6,,
MK001,جبل النور,مكة,حيوية,,14811456,338888,6570004,43.71,19.39,81831,17,17,44.6,55.4,0.0,0.0,100.0,0.0,-3.0,
