code,name,model,rev_k,net_k,net_pct,fuel_margin,kind
MK003,العوالي,استثماري,40346,5052,0.1252,0.0668,رابحة
MK007,العمرة,استثماري,50659,1605,0.0317,0.0553,رابحة
MK004,عاصفة الصحراء,استثماري,33359,1129,0.0338,0.055,رابحة
MK289,طريق الليث - الفضيلة,تشغيلي,7064,1047,0.1482,0.0416,رابحة
MK005,الشبيكي,استثماري,18962,661,0.0349,0.0675,رابحة
MK008,جنوب الحسينية,إيجاري,23775,632,0.0266,0.0511,رابحة
MK072,العزيزية بن دهيش,تشغيلي,20945,621,0.0296,0.063,رابحة
MK006,جنوب الطائف,استثماري,15868,550,0.0347,0.0677,رابحة
MK001,جبل النور,استثماري,15017,508,0.0338,0.0691,رابحة
MK046,الحليس,تشغيلي,20822,477,0.0229,0.0558,رابحة
MK289,جديدة - الفضيلة (امتياز),امتياز,22790,-1097,-0.0481,0.0049,خاسرة
RY042,الحرج طريق الرياض,إيجاري,4773,-662,-0.1387,0.0605,خاسرة
EP051,كورنيش الخبر,إيجاري,6335,-583,-0.092,0.0639,خاسرة
MK015,النسيم,إيجاري,19431,-525,-0.027000000000000003,0.0659,خاسرة
MK031,بطحاء قريش ٢,إيجاري,5845,-278,-0.047599999999999996,0.0582,خاسرة
MK002,المعيصم,إيجاري,7544,-136,-0.018000000000000002,0.0668,خاسرة
RY025,الحمراء,إيجاري,8792,-80,-0.0091,0.0617,خاسرة
JA061,صبيا,إيجاري,7036,-71,-0.0101,0.0496,خاسرة
MK022,بطحاء قريش ١,إيجاري,9535,-65,-0.0068000000000000005,0.0547,خاسرة
MK018,عرفات الرصيفة مسار,إيجاري,9761,-39,-0.004,0.0602,خاسرة
MK311-F,نوير,امتياز,2647,-38,-0.0144,0.0052,خاسرة
BH050,الطاولة,إيجاري,1937,-34,-0.0176,0.060700000000000004,خاسرة
NJ219,المركب,تشغيلي,425,-26,-0.061200000000000004,0.0397,خاسرة
MK017,عرفات الشوقية,إيجاري,10676,-23,-0.0022,0.0668,خاسرة
MK205,بئر الروة,امتياز,8768,-19,-0.0022,-0.002,خاسرة
TB032,السيا,امتياز,346,-12,-0.0347,0.0192,خاسرة
AS175,الروابي طارق,امتياز,1405,-2,-0.0014000000000000002,0.0024,خاسرة
NB130,طريق الأمير سلطان,امتياز,223,-1,-0.0045000000000000005,-0.0036,خاسرة
