code,hour,revenue,visits
MK007,0,2809346.94,47580
MK007,1,2057710.89,35286
MK007,2,1689610.94,28323
MK007,3,1415919.45,23196
MK007,4,1212527.58,18715
MK007,5,1500140.77,21971
MK007,6,2027525.79,31835
MK007,7,2412281.91,36813
MK007,8,2597585.01,33168
MK007,9,2230423.77,31264
MK007,10,2104885.59,30452
MK007,11,2027822.99,29384
MK007,12,2214772.93,32726
MK007,13,2369224.05,36028
MK007,14,3043196.74,41983
MK007,15,3126485.96,43087
MK007,16,3169968.51,48008
MK007,17,3607267.88,56141
MK007,18,3017771.26,48538
MK007,19,2983952.47,48955
MK007,20,3109960.25,51213
MK007,21,3183985.99,53327
MK007,22,3048873.54,51307
MK007,23,2440302.95,41511
MK072,0,1117606.42,24397
MK072,1,982962.39,21979
MK072,2,878013.44,19576
MK072,3,947880.2,18663
MK072,4,797995.16,18142
MK072,5,704615.55,15881
MK072,6,786335.95,16996
MK072,7,873996.44,18539
MK072,8,843979.41,17415
MK072,9,829911.77,16462
MK072,10,864059.36,16701
MK072,11,822247.22,16523
MK072,12,960318.52,19903
MK072,13,1081445.8,21813
MK072,14,1207820.0,23746
MK072,15,1334679.96,27186
MK072,16,1401675.87,29212
MK072,17,1417372.5,29697
MK072,18,1239651.53,26303
MK072,19,1225422.93,26204
MK072,20,1090749.16,23250
MK072,21,1088378.29,23243
MK072,22,1126629.53,24067
MK072,23,923756.21,19982
MK017,0,650585.06,14171
MK017,1,512679.46,11050
MK017,2,354704.86,7904
MK017,3,248228.12,5722
MK017,4,178363.37,4199
MK017,5,224734.68,5094
MK017,6,339389.16,7814
MK017,7,433488.2,9352
MK017,8,378609.31,7977
MK017,9,357654.57,7521
MK017,10,353889.24,7369
MK017,11,360802.82,7584
MK017,12,372379.61,7778
MK017,13,542942.72,10807
MK017,14,477092.01,9746
MK017,15,472820.11,9895
MK017,16,678850.49,13710
MK017,17,812180.58,16404
MK017,18,683312.3,13969
MK017,19,722080.35,14839
MK017,20,753728.2,15561
MK017,21,852562.79,17452
MK017,22,822751.39,17005
MK017,23,721342.42,15342
MK002,0,341321.78,7318
MK002,1,248745.7,5341
MK002,2,197007.49,4191
MK002,3,167901.04,3656
MK002,4,138182.48,2938
MK002,5,159016.06,3380
MK002,6,268089.61,5715
MK002,7,384169.2,8064
MK002,8,337980.2,7000
MK002,9,316712.0,6673
MK002,10,309169.45,6542
MK002,11,289417.1,6119
MK002,12,288434.93,6080
MK002,13,309282.25,6467
MK002,14,345220.12,7053
MK002,15,377947.08,7572
MK002,16,448168.46,9255
MK002,17,596823.36,12242
MK002,18,527763.97,11188
MK002,19,533592.85,11451
MK002,20,515602.33,11022
MK002,21,501061.48,10809
MK002,22,468070.84,10152
MK002,23,389413.11,8365
MK019,0,236468.96,4745
MK019,1,194802.48,3739
MK019,2,154740.08,2965
MK019,3,115080.01,2317
MK019,4,87681.64,1824
MK019,5,91358.33,1807
MK019,6,122654.46,2486
MK019,7,159305.36,3097
MK019,8,134244.66,2620
MK019,9,132932.5,2488
MK019,10,131259.49,2463
MK019,11,139417.04,2647
MK019,12,139280.54,2676
MK019,13,164751.83,2993
MK019,14,186630.74,3399
MK019,15,196005.74,3629
MK019,16,268214.32,5084
MK019,17,301754.43,5612
MK019,18,276540.56,5179
MK019,19,279035.93,5250
MK019,20,285100.93,5412
MK019,21,309688.61,5886
MK019,22,292754.95,5517
MK019,23,275003.06,5181
