code,name,month,ndays,revenue,visits,volume,avg_invoice,avg_liters,vis_per_day,peak_vis_hour,peak_rev_hour
MK007,العمرة الجديدة,2026-01,31,8881211.49,133979,4250476.97,66.29,31.72,4321.9,17,17
MK007,العمرة الجديدة,2026-02,28,8680077.83,129709,4167797.71,66.92,32.13,4632.5,17,17
MK007,العمرة الجديدة,2026-03,31,10212807.73,146745,4912346.99,69.6,33.48,4733.7,21,0
MK007,العمرة الجديدة,2026-04,30,7752203.43,125321,3602221.52,61.86,28.74,4177.4,17,17
MK007,العمرة الجديدة,2026-05,31,6723075.08,107251,3127695.89,62.69,29.16,3459.7,17,17
MK007,العمرة الجديدة,2026-06,30,7341314.71,123643,3432743.25,59.38,27.76,4121.4,17,17
MK007,العمرة الجديدة,2026-07,31,8673109.46,136582,4111752.94,63.5,30.1,4405.9,17,17
MK007,العمرة الجديدة,2026-08,4,1137744.43,17581,538371.86,64.71,30.62,4395.2,18,17
MK072,العزيزية,2026-01,31,3940038.3,86129,0.0,45.75,0,2778.4,17,14
MK072,العزيزية,2026-02,28,3616938.32,76110,0.0,47.52,0,2718.2,16,15
MK072,العزيزية,2026-03,30,3804162.87,73996,0.0,51.41,0,2466.5,15,3
MK072,العزيزية,2026-04,30,2864344.71,58442,0.0,49.01,0,1948.1,17,17
MK072,العزيزية,2026-05,31,3157910.49,58696,1466884.1,53.8,24.99,1893.4,17,17
MK072,العزيزية,2026-06,30,3145580.13,71255,1449823.63,44.15,20.35,2375.2,17,17
MK072,العزيزية,2026-07,31,3536527.53,80491,1628364.23,43.94,20.23,2596.5,17,17
MK072,العزيزية,2026-08,4,482001.26,10761,222247.09,44.79,20.65,2690.2,18,18
MK017,عرفات الشوقية,2026-01,31,1732798.26,37496,766437.55,46.21,20.44,1209.5,22,20
MK017,عرفات الشوقية,2026-02,28,1605714.91,34792,710989.13,46.15,20.44,1242.6,21,17
MK017,عرفات الشوقية,2026-03,31,2009034.8,41505,889497.04,48.4,21.43,1338.9,21,21
MK017,عرفات الشوقية,2026-04,30,1797870.6,37386,795544.42,48.09,21.28,1246.2,21,21
MK017,عرفات الشوقية,2026-05,31,1755572.34,34778,776136.33,50.48,22.32,1121.9,21,21
MK017,عرفات الشوقية,2026-06,30,2228398.55,47468,986326.62,46.95,20.78,1582.3,22,21
MK017,عرفات الشوقية,2026-07,22,1175782.36,24840,520564.38,47.33,20.96,1129.1,21,21
MK002,المعيصم,2026-01,31,3098249.38,67060,1375173.63,46.2,20.51,2163.2,17,17
MK002,المعيصم,2026-02,28,1115270.47,24141,495786.34,46.2,20.54,862.2,21,22
MK002,المعيصم,2026-03,31,1099857.63,22134,487742.79,49.69,22.04,714.0,21,21
MK002,المعيصم,2026-04,30,979663.17,20262,434339.17,48.35,21.44,675.4,17,17
MK002,المعيصم,2026-05,31,667017.53,13201,295709.81,50.53,22.4,425.8,18,18
MK002,المعيصم,2026-06,30,861817.09,18379,382473.71,46.89,20.81,612.6,18,18
MK002,المعيصم,2026-07,19,524942.2,11072,232959.76,47.41,21.04,582.7,17,17
MK002,المعيصم,2026-08,4,112275.42,2344,49787.95,47.9,21.24,586.0,18,18
MK019,الشرايع,2026-01,31,1288231.5,25740,568769.59,50.05,22.1,830.3,16,16
MK019,الشرايع,2026-02,28,573780.23,10957,253417.3,52.37,23.13,391.3,21,21
MK019,الشرايع,2026-03,31,599227.07,10979,264644.98,54.58,24.1,354.2,21,21
MK019,الشرايع,2026-04,30,648509.42,11921,286319.49,54.4,24.02,397.4,17,17
MK019,الشرايع,2026-05,31,613396.74,11254,271078.1,54.5,24.09,363.0,21,21
MK019,الشرايع,2026-06,30,608201.92,11720,268739.76,51.89,22.93,390.7,21,18
MK019,الشرايع,2026-07,14,266782.38,4985,117901.87,53.52,23.65,356.1,21,21
MK019,الشرايع,2026-08,4,76577.39,1460,33881.71,52.45,23.21,365.0,22,22
