code,name,city,status,units,leased,reserved,vacant,occupancy,remaining
AS081,العزيزية خميس مشيط,خميس مشيط,مشغلة,6.0,3.0,0,3.0,50.0,كشك \ محل \ زيوت
EB102,طريق احد,القطيف,مشغلة,2.0,0,0,2.0,0.0,كشك \ محل
RY095,السفير 4 ( الهدا ),الخرج,مشغلة,11.0,8.0,0,3.0,72.7,مطعم \ محل \ صراف
MK103,اكويلا فيول,جده,مشغلة,2.0,0,0,2.0,0.0,كشك2
JA227,الحزام الجنوبي,جازان,مشغلة,7.0,0,0,7.0,0.0,كشك2 \ محلات5
HA052,الأمير سعود,حائل,تم البناء بهوية شركة درب,10.0,5.0,0,5.0,50.0,كشك \ محل \ درايف ثرو3
MD009,طريق السلام,المدينة المنورة,مبنى عظم - جاري تطبيق هوية درب,11.0,0,0,11.0,0.0,
RY106,نجم الدين الايوبي,الرياض,جاري تطبيق الهوية,7.0,3.0,0,4.0,42.9,كشك2 \ محل2
RY105,الأمير سعد,الرياض,تم البناء بهوية شركة درب,3.0,1.0,0,2.0,33.3,خدمات سيارات \ سوبرماركت
JA070,الظبيه,الظبية,تم البناء بهوية شركة درب,31.0,1.0,0,30.0,3.2,
MK161,الحزم,جدة,عظم-جاري تطبيق هويه درب,7.0,0,0,7.0,0.0,
EP132,الذيبة,حفر الباطن,مشروع جديد,5.0,4.0,0,1.0,80.0,محل
EP134,الواحة,حفر الباطن,مشروع جديد,8.0,7.0,0,1.0,87.5,درايف ثرو
MK216,بترولايز الواحة,جدة,جاري تطبيق الهوية,1.0,0,0,1.0,0.0,درايف ثرو
MK223,بترولابز الفلاح,جدة,جاري تطبيق الهوية,1.0,0,0,1.0,0.0,محل
MK241,بترولايز - الياقوت,جدة,تعمل,3.0,0,0,3.0,0.0,ورشة \ محل \ صراف
MK222,بترولايز- طيبة,جدة,تعمل,1.0,0,0,1.0,0.0,سوبرماركت
AS085,خيبر بيشة,خيبر,عظم - جاري تطبيق هوية درب,12.0,0,0,12.0,0.0,
اجمالي محطات الربع الاول,,,,128.0,32.0,0,96.0,25.0,
