code,city,street,status,restaurants,cafe,market,other,car_services,year
MK001,مكة,جبل النور,Open,,يو كافي,فريش واي,,درب الصيانة,2025
MK002,مكة,المعيصم,Open,ماكدونالدز - كرسبي كريم - باباسنفور,- تيم هورتنز - دانكن - ملتن - يو كوفي - بون - قيس ايسكريم - تفطيرة - بارنز - المذاق المغربي - سينابون,فريش واي,,البترول الذهبي - مغسلة,2025
MK003,مكة,العوالي,Open,باباسنفور - بف - طعمية السلطان -  الطازج - كازاباستا- برقر كينق - شاورمر- بوقا - لمة - حاشي باشا -  مندي الدعدي -  فطيرة و شاي T80-  باسكن - دومينوز - فروتي الرضاء - فاير جريل - شاورما وصوص - شيفز - محطة العصائر - مذاق المنئوشة,تيم هورتنز -  - قهوة الامراء - يو كوفي - براتو - - بارنز - المذاق المغربي - بون - قهوة هيام - زيكا - بنز كوكيز - قيس ايسكريم,تموينات السلطان - لوازم الرحلات,Redbox,بترومين - مغسلة صقر,2025
MK008,مكة,الحسينية,Open,طعمية السلطان - سندويشة وشاورما,جاب كوكيز - قهوة الامراء,فريش واي,صراف بنك الرياض,مغسلة درب الصيانة -  بنشر درب الصيانة,2025
MK007,مكة,النوارية,Open,صامولجي - ترويقة زمان - بيتزا ريتا - ماكدونالدز - قيس ايسكريم,رو  - المذاق المغربي - جوينت -  ريشو  -  بوبا بيرلز - انسول,بنده,,,2025
MK014,مكة,خليص,Open,,كافيانو كوفي,,,,2025
MK016,مكة,الرصيفة,Open,تست شطائر - طعمية السلطان,قهوة الامراء - بون كوفي - عنوان القهوة  -  UP كوفي,فريش واي,,درب الصيانة - مغسلة  car wash,2025
MK017,مكة,عرفات الشوقية,Open,بوبايز -  قيس ايسكريم,بارنز - بون,فريش واي,,بنشر رواد الصيانة  - بترومين - مغسلة water wash,2025
MK018,مكة,الرصيفة المسار,Open,,بارنز -  فنو ومنو مشروبات,اسواق درب,,درب الصيانة,2025
MK019,مكة,الشرايع,Open,كنتاكي - هارديز -,بون - بارنز,فريش واي,,رواد الصيانة (بنشر- غسيل ),2025
MK020,مكة,ممشى الشوقية,Open,مذاق المنئوشة - هيام - - مشراق - كيمس,بوبا بيرلز - UP coffee - كوف,فريش واي,,بترومين - واش واي,2025
MK022,مكة,1بطحاء قريش,Open,,ديبو,فريش واي,,واش واي - بنشر درب الصيانة,2025
MK023,مكة,بن درويش,Open,,بون - زيكا - كودو - عنوان القهوة,فريش واي,,بترومين  - درب الصيانة غسيل وبنشر,2025
MK029,مكة,الدائري الثالث-الذكرى,Open,ماكدونالدز - كرك وشباتي - مشراق -  بوبايز - معلوم,بون - جوينت -  وزنة براد,أسواق درب,,بترومين -  car shield - T3 autocarwash,2025
MK031,مكة,2بطحاء قريش,Open,الطازج,بون,فريش واي,,رواد الصيانة,2025
MK033,مكة,العمرة الجديدة,Open,,تكانة كافيه,فريش واي,,,2025
MK047,مكة,القادسية,Open,ماكدونالدز,اوريف كافيه - تيم هورتينز,فريش واي,,Express care - valvoline by aramco,2025
MK049,مكة,السلولي,Open,,بون - براتو,Savve Mart,,مغسلة السلام - خدمات سيارات السلام,2025
MK064,مكة,جعرانه,Open,طعمية السلطان - سناك تشيكن,,أسواق ومخابز البوابة الكبرى,,رواد الصيانة,2025
MK068,مكة,الجموم - الكنيدري,Open,,كوفي بولس,تموينات بشرى,,,2025
MK072,مكة,العزيزية,Open,,,راشن زون ماركت,,مغسلة سيارات طيف - حلول كار,2025
MK084,مكة,الكر النازل,Open,كرك شباتي,ديوانية جهز للقهوة - كرز البن - المذاق المغربي -كويك سيب Quick sip كوفي,أسواق ومخابز سنابل العز,,,2025
