code,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
AS153,4443,3108,2319,1885,1538,2697,3306,3678,3484,3152,2857,2761,2537,2919,3106,3360,5732,7273,6700,6603,6796,7374,6712,5460
EP051,5600,3850,2689,1763,1501,2721,4211,4529,3468,3549,3500,3713,5257,5811,6008,6684,8563,8693,7836,8192,8252,8066,7253,6492
HA043,3576,2824,2472,1654,1139,1036,1285,1496,1440,1752,1757,1789,1918,2482,2823,2844,3773,3937,3762,3969,4105,4251,4162,3944
JA041,3256,2350,1715,1561,1506,2432,3456,3839,3490,3641,3381,3234,2749,2583,2716,2811,4545,5670,5211,5137,4877,5448,4956,4213
JA053,5760,4334,3198,2595,2124,3611,6767,8630,6975,5871,4337,3411,3260,3678,3706,4327,7649,9062,7663,8551,8409,9276,8412,6817
JA056,2397,1413,1078,970,952,1850,3100,4376,2954,2372,2159,2010,1833,1806,2079,2488,3134,3643,3418,3604,3341,3619,3174,2791
JA060,1989,1461,1140,647,412,557,1358,2815,4265,4365,4251,4022,3276,1942,1838,1997,4700,6986,6151,6500,6229,6369,4624,2834
JA061,4259,3233,2790,2189,2437,3672,4104,5331,4098,4275,4354,4354,3960,3924,5138,5310,5926,6767,4868,4969,4675,5140,5304,4974
JA069,13576,11956,10928,8601,6163,5368,5884,8055,6004,6209,6406,6012,7012,6313,6300,5151,6317,9157,8804,8446,8638,10117,10834,10611
JA092,14301,10957,9034,5953,4287,7820,10840,12296,11017,10759,9865,8827,8699,9878,9031,8968,16606,20342,15668,18481,17962,21419,19667,16232
JA348,4494,3242,2888,2045,1770,2983,3400,3393,2946,2838,2522,2042,2015,2219,2133,2174,4258,5403,4777,4746,4396,5458,5107,4594
MD009,1150,645,635,506,318,446,440,439,396,479,510,510,466,436,447,607,776,1001,1087,1024,943,1036,1040,962
MK001,19036,14281,10455,9057,7199,9411,14176,16360,13730,13052,11884,11499,11956,14544,14910,15452,19247,24759,21460,22744,23077,23756,22958,20506
MK002,7499,5498,4319,3747,2992,3426,5827,8169,7178,6863,6713,6273,6225,6605,7153,7764,9537,12611,11560,11749,11404,11133,10448,8591
MK003,35478,28769,24517,18774,14659,14917,21505,30454,26555,26090,24844,25648,26158,31565,35709,38813,41443,47691,39643,37207,37621,38598,38561,34981
MK004,12230,9376,8355,7228,6715,8974,9912,9526,8180,8649,9086,9084,9614,11535,12482,13423,16213,17693,15559,13961,13800,13669,12725,11625
MK005,7750,5927,5292,4031,3186,4315,5275,6020,4785,4819,5233,4946,5405,6234,6722,7205,10065,11327,10298,9305,9439,9494,8526,7435
MK006,5693,4679,3846,3060,2890,4565,4997,4780,4373,4526,4674,4013,4480,5958,7648,7288,10343,11565,10013,8047,8141,7877,6770,5319
MK007,46701,34632,27780,22784,18377,21469,31237,36163,32507,30708,29793,28805,32121,35360,41197,42283,47166,55121,47488,47999,50226,52291,50309,40738
MK008,7550,6485,5228,4448,4119,5914,7790,7063,6190,6027,5095,5063,5223,5666,5697,6665,8770,10177,10181,10017,10328,10202,9602,7970
MK014,3770,2847,2172,1941,1907,2476,3500,3905,3307,3008,2960,2867,4081,3708,4077,4971,5045,5019,5229,4886,4554,4582,4125,3464
MK015,12205,8526,7207,4378,2729,3732,6403,6691,6650,6891,6481,5896,5988,7139,7358,7233,8967,10640,11543,9967,11723,11430,11692,10344
MK016,16372,11521,8752,6421,4931,5934,10392,12490,9585,9214,8358,9078,9850,13340,11577,12047,15785,19117,16691,17556,17690,20299,20123,18222
MK017,14791,11455,8195,5974,4336,5303,8071,9629,8271,7823,7650,7873,8031,11173,10111,10262,14317,17094,14762,15597,16273,18247,17831,15996
MK018,6538,4413,3217,2421,2154,3027,4098,4486,4576,4911,4804,4628,5447,5893,5680,5702,6771,7798,7496,7143,7446,7731,7846,6520
MK019,4955,3913,3106,2480,1902,1954,2583,3255,2763,2598,2562,2761,2796,3142,3529,3822,5296,5908,5438,5511,5744,6245,5755,5416
MK020,15794,12040,9269,7444,5359,6618,10516,11540,9420,9027,8263,8419,8719,11123,10235,10652,14292,16708,15209,16772,17332,18704,18148,17089
