code,name,region,days,revenue,volume,visits,vol_ok,avg_invoice,lpv,diesel_vol,g95_vol,g91_vol,pay_unknown,pay_cash,pay_card,pay_fleet,night_vis,peak_hour,jan_lpd,jul_lpd
MK007,العمرة الجديدة,مكة,212,58264209.09,27605223.08,903255,1,64.5,30.562,9090428.7,8988034.5,9526759.8,1627.92,28955737.28,26246359.2,3059191.79,460794,17,137112.2,132637.5
MK003,العوالي,مكة,212,45452187.58,20100453.41,740200,1,61.41,27.155,0,9539392.0,10538607.2,18306520.57,8400297.9,17409136.09,1335737.02,363725,17,94259.0,98349.5
MK289,طريق الليث - الفضيلة,جدة,207,34048973.63,17705303.69,388807,1,87.57,45.538,12383944.6,1860824.6,3460534.5,24727185.74,6478143.11,2112133.62,731481.16,171367,17,,101691.9
MK072,العزيزية,مكة,211,24068678.6,4546591.96,505197,0,47.64,9.0,676906.5,1004078.7,2865606.8,3291.37,21590243.93,465549.53,2008657.77,256144,17,,52576.4
MK004,عاصفة الصحراء,الطائف,122,21858587.87,10466544.24,269614,1,81.07,38.82,4161910.2,2899403.5,3405230.5,5623.82,9413235.84,10146714.09,2293014.12,134217,17,,96692.0
MK047,القادسية,مكة,197,19752239.36,9374059.96,332733,1,59.36,28.173,3056002.1,3119153.9,3198904.0,19752239.36,0,0,0,183014,17,50510.0,
MK029,الدائري الثالث - الذكرى,مكة,212,19533987.64,3907416.37,333174,0,58.63,11.728,854300.5,1401584.8,1651531.0,3290.99,7078967.79,9195821.28,3255747.58,175485,17,,39692.6
MK028,أحلى مساء,الطائف,197,19217443.34,8582032.41,283926,1,67.68,30.226,871409.9,3699318.2,4011304.4,19217443.34,0,0,0,146299,17,48597.5,
MK033,أبو وافي العمرة,مكة,212,18678267.68,9236482.92,299155,1,62.44,30.875,4691428.9,1648376.4,2896677.6,7187.18,15871852.47,1323842.44,1475161.59,151006,19,44243.6,46076.5
RY075,الدائري الشمالي,الرياض,212,18394665.04,6003093.94,248043,0,74.16,24.202,557819.7,2594959.2,2850315.1,13096.48,3227149.17,14017399.71,1136601.68,114890,20,,38971.0
MK001,جبل النور,مكة,208,16778524.72,7442595.94,385509,1,43.52,19.306,0,3199255.0,4243340.9,16778524.72,0,0,0,203940,17,29793.2,
MK016,الرصيفة,مكة,195,13274969.34,5897181.14,305345,1,43.48,19.313,0,2406233.0,3490948.1,13274969.34,0,0,0,164512,21,31066.5,
MK017,عرفات الشوقية,مكة,212,12811088.71,5669300.08,269065,1,47.61,21.07,0,2640813.5,3028486.6,12811088.71,0,0,0,148760,21,24723.8,24011.9
JA092,الصفا - أحد المسارحة,جازان,161,12646770.3,5682448.02,298909,1,42.31,19.011,354553.9,2651160.2,2676733.9,4336.79,5043239.59,7211934.77,386700.22,161781,21,,39840.3
MK020,ممشى الشوقية,مكة,212,12532864.6,5547520.97,288692,1,43.41,19.216,0,2562801.0,2984720.0,12532864.6,0,0,0,159778,21,25203.4,26048.4
MK064,الجعرانة,مكة,212,12280255.01,5824497.14,238071,1,51.58,24.465,1918390.9,1821216.3,2084889.9,4851.57,7356595.27,3780959.86,1137584.72,126956,17,24855.1,28670.8
MK063,السواط - شهار,الطائف,197,12102486.91,5396465.86,233642,1,51.8,23.097,387517.7,2472983.1,2535965.1,12102486.91,0,0,0,146084,0,25485.2,
MK210,الفلاح - فلسطين,جدة,178,11893577.19,5774140.13,238689,1,49.83,24.191,2213959.9,1116037.4,2444142.8,0,7757893.89,4132404.27,3229.03,123767,21,,33927.0
MK022,بطحاء قريش 1,مكة,212,10976756.31,5251558.32,171994,1,63.82,30.533,1915461.9,1496004.1,1840092.3,10976756.31,0,0,0,90858,17,22635.6,22354.7
MK046,الحليس - طريق الجنوب,الطائف,86,10734609.73,5071254.27,157865,1,68.0,32.124,1679339.2,1485989.6,1905925.5,2532.44,4711419.78,5377339.77,643317.74,71622,17,,69476.6
MK035,الجمعية الوسام,الطائف,197,10693687.63,5034304.65,159896,1,66.88,31.485,1622124.1,1630638.0,1781542.6,10693687.63,0,0,0,83408,17,23413.9,
MK014,خليص,مكة,212,9944883.17,5051062.26,88401,1,112.5,57.138,3178830.1,819765.2,1052466.9,4422.49,3206773.55,3897884.76,2835782.37,41953,18,23539.5,25385.0
JA069,كورنيش جيزان,جازان,212,9844948.5,4379647.91,192862,1,51.05,22.709,126582.7,2312843.0,1940222.2,2081.49,2005932.47,7175362.09,661288.45,114042,0,21485.3,19508.8
