code,name,region,cls,mlpa,vpd,lpv,inv,diesel,fleet,night,peak,who,driver,action,comp_n,comp_avg,comp_near,comp_who,scanned,gap_txn,gap_fill,sar
MK033,أبو وافي العمرة,مكة,خط سفر,15.9,1411,30.9,62.44,0.508,0.0562,0.505,19,شاحنات وأساطيل · حسابات أسطول رقمية,التعاقد وسلة التعبئة,عقود ديزل متدرجة · خدمات شاحنات · ممر سريع,,,,,لا,13,7120,304785
JA348,جنوب صبيا,جازان,مختلط,8.1,1436,15.4,33.82,0.127,0.0003,0.568,21,خليط سكّان وعابرين · طلب مسائي غالب,فصل الطلبين,عرض للسكّان وآخر للعابرين · لا رسالة واحدة,,,,,لا,13,5554,232772
JA092,الصفا - أحد المسارحة,جازان,حيوية,12.9,1857,19.0,42.31,0.062,0.0004,0.541,21,أفراد المدينة,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,7,4068,169683
MK210,الفلاح - فلسطين,جدة,حيوية,11.8,1341,24.2,49.83,0.383,0.0001,0.519,21,شاحنات وأساطيل,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,14,3826,168450
MK289,طريق الليث - الفضيلة,جدة,خط سفر,31.2,1878,45.5,87.57,0.699,0.0335,0.441,17,شاحنات وأساطيل · حسابات أسطول رقمية,التعاقد وسلة التعبئة,عقود ديزل متدرجة · خدمات شاحنات · ممر سريع,,,,,لا,22,3088,165324
MK008,الحسينية,مكة,حي,11.8,1698,19.1,42.95,0.0,0.0035,0.537,20,أفراد المدينة,التردد,ساعات العمل · مزيج المستأجرين · سرعة الذروة,,,,,لا,37,2944,147792
MK004,عاصفة الصحراء,الطائف,حيوية,31.3,2210,38.8,81.07,0.398,0.0428,0.498,17,شاحنات وأساطيل · حسابات أسطول رقمية,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,81,0,126567
MK071,الأجاويد,جدة,حيوية,6.9,947,20.0,42.95,0.197,0.0256,0.51,17,خليط سكّان وعابرين · حسابات أسطول رقمية,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,17,2780,126344
MK001,جبل النور,مكة,حيوية,13.1,1853,19.3,43.52,0.0,0.0,0.529,17,أفراد المدينة,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,6,2857,120075
MK007,العمرة الجديدة,مكة,حيوية,47.5,4261,30.6,64.5,0.329,0.0278,0.51,17,شاحنات وأساطيل · حسابات أسطول رقمية,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,4,4.0,"2,194 م",محطة المملكة,نعم,91,0,112457
MK018,الرصيفة المسار,مكة,حيوية,8.6,1063,22.1,47.63,0.209,0.0289,0.504,22,خليط سكّان وعابرين · حسابات أسطول رقمية,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,14,2327,106532
MK064,الجعرانة,مكة,حي,10.0,1123,24.5,51.58,0.329,0.0059,0.533,17,شاحنات وأساطيل,التردد,ساعات العمل · مزيج المستأجرين · سرعة الذروة,,,,,لا,8,2417,106201
MK016,الرصيفة,مكة,حيوية,11.0,1566,19.3,43.48,0.0,0.0,0.539,21,أفراد المدينة,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,6,2409,102419
MK003,العوالي,مكة,خط سفر,34.6,3492,27.2,61.41,0.0,0.0056,0.491,17,أفراد المدينة,التعاقد وسلة التعبئة,عقود ديزل متدرجة · خدمات شاحنات · ممر سريع,,,,,لا,91,0,100499
MK020,ممشى الشوقية,مكة,حيوية,9.6,1362,19.2,43.41,0.0,0.0,0.553,21,أفراد المدينة · طلب مسائي غالب,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,12,2148,96383
MK068,الجموم - الكنيدري,مكة,مختلط,7.0,925,20.9,45.97,0.14,0.0077,0.543,21,خليط سكّان وعابرين,فصل الطلبين,عرض للسكّان وآخر للعابرين · لا رسالة واحدة,,,,,لا,12,1733,80466
JA060,صناعية صامطة,جازان,حيوية,2.4,410,16.3,34.93,0.231,0.0,0.482,17,خليط سكّان وعابرين,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,0,1925,78228
MK046,الحليس - طريق الجنوب,الطائف,مختلط,21.5,1836,32.1,68.0,0.331,0.0129,0.454,17,شاحنات وأساطيل,فصل الطلبين,عرض للسكّان وآخر للعابرين · لا رسالة واحدة,,,,,لا,48,219,71652
MK015,النسيم,جدة,حيوية,16.0,1998,22.0,49.55,0.0,0.0042,0.55,0,أفراد المدينة,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,31,940,65816
JA041,القسوم - أحد المسارحة,جازان,حيوية,6.5,856,20.7,46.11,0.074,0.0014,0.503,17,أفراد المدينة,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,3,1366,57579
MK047,القادسية,مكة,حيوية,17.4,1689,28.2,59.36,0.326,0.0,0.55,17,شاحنات وأساطيل · طلب مسائي غالب,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,0,1303,52755
MK028,أحلى مساء,الطائف,مختلط,15.9,1441,30.2,67.68,0.102,0.0,0.515,17,خليط سكّان وعابرين,فصل الطلبين,عرض للسكّان وآخر للعابرين · لا رسالة واحدة,,,,,لا,42,0,51759
JA069,كورنيش جيزان,جازان,حيوية,7.5,910,22.7,51.05,0.029,0.0012,0.591,0,أفراد المدينة · طلب مسائي غالب,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,34,388,47293
MK017,عرفات الشوقية,مكة,حيوية,9.8,1269,21.1,47.61,0.0,0.0,0.553,21,أفراد المدينة · طلب مسائي غالب,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,6,4.1,"2,450 م",محطة نوفل,نعم,1,1061,44089
MK031,بطحاء قريش 2,مكة,حيوية,5.4,581,25.4,53.87,0.277,0.0,0.518,17,خليط سكّان وعابرين,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,,,,,لا,8,861,43467
AS153,مدخل محايل,عسير,مختلط,8.3,998,22.7,50.35,0.133,0.0058,0.557,21,خليط سكّان وعابرين · طلب مسائي غالب,فصل الطلبين,عرض للسكّان وآخر للعابرين · لا رسالة واحدة,,,,,لا,0,1025,41493
MK023,بن درويش,مكة,حيوية,5.8,790,20.0,45.16,0.0,0.0349,0.549,21,أفراد المدينة · حسابات أسطول رقمية,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,28,3.6,411 م,Aldrees,نعم,0,995,40528
MD009,طريق السلام,المدينة المنورة,خط سفر,2.3,233,27.4,57.5,0.322,0.001,0.601,0,شاحنات وأساطيل · طلب مسائي غالب,التعاقد وسلة التعبئة,عقود ديزل متدرجة · خدمات شاحنات · ممر سريع,,,,,لا,1,945,38940
MK054,طريق السيل,مكة,خط سفر,10.8,737,40.1,82.46,0.445,0.0165,0.474,17,شاحنات وأساطيل,التعاقد وسلة التعبئة,عقود ديزل متدرجة · خدمات شاحنات · ممر سريع,,,,,لا,14,388,38410
MK002,المعيصم,مكة,حيوية,6.6,865,21.0,47.29,0.0,0.0231,0.504,17,أفراد المدينة · حسابات أسطول رقمية,تغطية ساعات الذروة,طاقم الذروة · توفّر المضخات · سرعة الخدمة,18,3.7,181 م,محطة المعيصم,نعم,6,751,35360
