date,order_no,qty,loading,carrier,product,code
2026-01-01,7257314710,32988.7,S132,شركة نايف الدعجاني لنقل البضائع والمهمات شركة شخص واحد,95,MK028
2026-01-01,7257314723,32990.9,S132,شركة النسيم الجديد المحدودة,95,MK007
2026-01-01,7257314801,32990.2,S132,شركة النسيم الجديد المحدودة,95,MK002
2026-01-01,7257314811,33003.7,S132,شركة أفق الطائف,95,MK017
2026-01-01,7257315007,33002.0,S132,شركة النسيم الجديد المحدودة,91,MK002
2026-01-01,7257315047,32993.1,S132,شركة أفق الطائف,91,MK003
2026-01-01,7257315106,33042.2,S132,شركة أفق الطائف,91,MK017
2026-01-01,7257315160,32991.1,S132,شركة أفق الطائف,91,MK018
2026-01-01,7257315204,32993.6,S132,شركة النسيم الجديد المحدودة,91,MK003
2026-01-01,7257315758,32992.7,S132,شركة نايف الدعجاني لنقل البضائع والمهمات شركة شخص واحد,91,MK063
2026-01-01,7257315938,32983.6,S132,مؤسسة الدائرة للنقليات,91,MK064
2026-01-01,7257315972,33001.5,S132,شركة النسيم الجديد المحدودة,91,MK084
2026-01-01,7257316177,32980.1,S132,شركة النسيم الجديد المحدودة,91,MK007
2026-01-01,7257316192,33001.6,S132,مؤسسة الدائرة للنقليات,91,MK004
2026-01-01,7257316317,32991.8,S132,شركة تزويد السعودية المحدودة,91,MK005
2026-01-01,7257316379,33002.7,S132,مؤسسة الدائرة للنقليات,ديزل,MK064
2026-01-01,7257317457,33001.8,S132,شركة النسيم الجديد المحدودة,91,MK007
2026-01-01,7257317080,32001.5,S132,شركة نايف الدعجاني لنقل البضائع والمهمات شركة شخص واحد,ديزل,MK035
2026-01-01,7257317116,33002.1,S132,شركة أفق الطائف,ديزل,MK022
2026-01-01,7257317445,32992.7,S132,شركة النسيم الجديد المحدودة,91,MK072
2026-01-01,7257314236,32501.7,S132,شركة النسيم الجديد المحدودة,ديزل,MK007
2026-01-01,7257305537,32493.7,S132,شركة النسيم الجديد المحدودة,ديزل,MK007
2026-01-01,7257305587,32001.3,S132,شركة تزويد السعودية المحدودة,ديزل,MK046
2026-01-01,7257303128,36001.6,S132,شركة أسطول النادر للنقليات شركة شخص واحد,ديزل,MK014
2026-01-01,7257309113,33005.1,S132,شركة النسيم الجديد المحدودة,95,MK084
2026-01-01,7257309143,32999.9,S132,شركة النسيم الجديد المحدودة,95,MK016
2026-01-01,7257313872,33004.5,S132,شركة تزويد السعودية المحدودة,95,MK005
2026-01-01,7257314115,33002.7,S132,مؤسسة الدائرة للنقليات,95,MK004
2026-01-01,7257314217,32494.4,S132,شركة النسيم الجديد المحدودة,ديزل,MK029
2026-01-01,7257315989,31997.0,S091,مؤسسه عفراء امحمد ناصر المنجحي للنقليات,95,JA060
2026-01-01,7257316517,32000.0,S091,Al-Nassar Transport Company,91,JA069
2026-01-01,7257315799,32994.7,S132,شركة نايف الدعجاني لنقل البضائع والمهمات شركة شخص واحد,91,MK046
2026-01-01,7257314752,31991.6,S132,شركة حسين زين العطاس وسعد عوض العصيمي وشركائهم,95,MK100
2026-01-01,7257317061,31992.8,S132,شركة القوة المتجددة للوقود,ديزل,MK100
2026-01-01,7257325202,33113.7,S132,شركة أفق الطائف,95,MK047
2026-01-01,7257318748,32995.1,S132,شركة النسيم الجديد المحدودة,91,MK023
2026-01-01,7257318750,32986.5,S132,شركة أفق الطائف,91,MK033
2026-01-01,7257318753,32501.2,S132,شركة النسيم الجديد المحدودة,ديزل,MK072
2026-01-01,7257325098,33005.7,S132,شركة أفق الطائف,95,MK033
2026-01-01,7257318755,32492.5,S132,شركة النسيم الجديد المحدودة,ديزل,MK031
2026-01-01,7257318759,32993.1,S132,مؤسسة سامي بن سلمان بن عامر الصاعدي للنقليات,95,MK015
2026-01-01,7257324414,33004.7,S132,شركة أسطول النادر للنقليات شركة شخص واحد,95,MK063
2026-01-01,7257325069,33004.1,S132,مؤسسة الدائرة للنقليات,95,MK064
2026-01-01,7257325031,32993.0,S132,شركة النسيم الجديد المحدودة,95,MK008
2026-01-01,7257324973,33021.5,S132,شركة النسيم الجديد المحدودة,95,MK007
2026-01-01,7257324432,33001.4,S132,شركة تزويد السعودية المحدودة,95,MK035
2026-01-01,7257324453,32989.6,S132,مؤسسة الدائرة للنقليات,95,MK004
2026-01-01,7257324887,33003.9,S132,شركة النسيم الجديد المحدودة,95,MK018
2026-01-01,7257324552,33001.5,S132,شركة النسيم الجديد المحدودة,91,MK002
2026-01-01,7257324574,32001.5,S132,شركة القوة المتجددة للوقود,91,MK004
2026-01-01,7257324861,33004.4,S132,شركة النسيم الجديد المحدودة,95,MK003
2026-01-01,7257295402,33001.4,S132,شركة أسطول النادر للنقليات شركة شخص واحد,ديزل,MK018
2026-01-01,7257316498,32991.2,S132,شركة النسيم الجديد المحدودة,91,MK007
2026-01-01,7257316656,32993.1,S132,مؤسسة الدائرة للنقليات,ديزل,MK047
2026-01-01,7257317151,33001.5,S132,شركة أفق الطائف,ديزل,MK033
2026-01-01,7257317188,33001.5,S132,شركة النسيم الجديد المحدودة,91,MK016
2026-01-01,7257316072,32001.0,S091,شركة ناقلين المحدودة,ديزل,JA061
2026-01-01,7257316439,33001.6,S132,شركة النسيم الجديد المحدودة,91,MK008
2026-01-01,7257315186,32021.0,S012,محطة منير سفير المطيري,91,RY024
2026-01-01,7257315157,32003.5,S133,شركة أسدال للخدمات البترولية,91,RY075
2026-01-02,7257327031,32993.9,S132,شركة نايف الدعجاني لنقل البضائع والمهمات شركة شخص واحد,91,MK005
2026-01-02,7257327067,32501.8,S132,شركة النسيم الجديد المحدودة,ديزل,MK029
2026-01-02,7257327102,32491.8,S132,شركة النسيم الجديد المحدودة,ديزل,MK007
2026-01-02,7257327133,33001.6,S132,شركة النسيم الجديد المحدودة,91,MK072
2026-01-02,7257327152,33001.4,S132,شركة أفق الطائف,91,MK033
2026-01-02,7257327181,32992.7,S132,مؤسسة الدائرة للنقليات,ديزل,MK064
2026-01-02,7257327261,32994.3,S132,مؤسسة سامي بن سلمان بن عامر الصاعدي للنقليات,91,MK015
2026-01-02,7257326111,33001.4,S132,مؤسسة الدائرة للنقليات,91,MK004
2026-01-02,7257326099,32001.5,S132,شركة القوة المتجددة للوقود,ديزل,MK093
2026-01-02,7257326031,32002.6,S132,شركة تزويد السعودية المحدودة,ديزل,MK063
2026-01-02,7257326007,33008.5,S132,شركة تزويد السعودية المحدودة,91,MK006
2026-01-02,7257325926,32990.6,S132,مؤسسة الدائرة للنقليات,91,MK047
2026-01-02,7257325892,33002.9,S132,شركة أفق الطائف,91,MK001
2026-01-02,7257325818,33008.7,S132,شركة نايف الدعجاني لنقل البضائع والمهمات شركة شخص واحد,91,MK028
2026-01-02,7257325786,32992.4,S132,شركة النسيم الجديد المحدودة,91,MK003
2026-01-02,7257325775,33001.4,S132,شركة النسيم الجديد المحدودة,91,MK018
2026-01-02,7257325741,32992.6,S132,شركة النسيم الجديد المحدودة,91,MK016
2026-01-02,7257325713,33001.6,S132,شركة النسيم الجديد المحدودة,91,MK029
2026-01-02,7257325699,33007.2,S132,شركة النسيم الجديد المحدودة,91,MK031
2026-01-02,7257325658,32979.4,S132,شركة النسيم الجديد المحدودة,91,MK020
2026-01-02,7257326054,32001.6,S132,شركة نايف الدعجاني لنقل البضائع والمهمات شركة شخص واحد,ديزل,MK046
2026-01-02,7257315203,31672.0,S133,محطة منير سفير المطيري,95,RY042
2026-01-02,7257317798,31998.3,S142,مؤسسة مسار الطريق للنقليات,ديزل,QS055
2026-01-02,7257326287,32003.8,S142,مؤسسة مسار الطريق للنقليات,95,QS055
2026-01-02,7257326378,32025.0,S012,محطة منير سفير المطيري,ديزل,RY024
2026-01-02,7257327373,32036.7,S133,شركة أسدال للخدمات البترولية,95,RY075
2026-01-02,7257331117,33004.9,S132,شركة نايف الدعجاني لنقل البضائع والمهمات شركة شخص واحد,95,MK028
2026-01-02,7257331145,33005.6,S132,شركة تزويد السعودية المحدودة,95,MK005
2026-01-02,7257331226,32991.0,S132,مؤسسة الدائرة للنقليات,95,MK004
2026-01-02,7257331294,33001.0,S132,شركة النسيم الجديد المحدودة,95,MK007
2026-01-02,7257331301,33004.2,S132,شركة النسيم الجديد المحدودة,95,MK002
2026-01-02,7257332230,33002.3,S132,شركة حسين زين العطاس وسعد عوض العصيمي وشركائهم,95,MK015
2026-01-02,7257331337,33004.0,S132,شركة النسيم الجديد المحدودة,95,MK003
2026-01-02,7257331354,32994.7,S132,شركة النسيم الجديد المحدودة,95,MK020
2026-01-02,7257331857,32501.2,S132,شركة النسيم الجديد المحدودة,ديزل,MK007
2026-01-02,7257331368,2935.4,S132,شركة النسيم الجديد المحدودة,95,MK072
2026-01-02,7257331380,32988.9,S132,شركة النسيم الجديد المحدودة,95,MK029
2026-01-02,7257331459,33001.8,S132,شركة النسيم الجديد المحدودة,91,MK003
2026-01-02,7257331512,33001.6,S132,شركة النسيم الجديد المحدودة,91,MK002
2026-01-02,7257331548,33004.4,S132,شركة أفق الطائف,95,MK001
2026-01-02,7257325866,33001.3,S132,شركة النسيم الجديد المحدودة,91,MK007
