code,q1_wages,q2_wages,q1_util,q2_util
MK033,133000,115500,17404,22408
MK028,126000,126000,10260,12809
MK071,63000,63000,,
MK099,,,,
MK064,105000,87500,6968,10335
MK035,63000,63000,3389,4902
MK046,119000,126000,10798,13100
RY075,105000,105000,23895,25490
MK029,126000,108500,,
MK016,115500,101500,8741,9912
MK047,115500,108500,10501,11847
MK084,84000,73500,6976,11406
MK100,42000,42000,1837,4675
MK093,59500,52500,,
JA056,42000,42000,7665,11280
QS055,63000,63000,3808,23468
MK023,70000,49000,8029,3058
HA043,63000,63000,6228,12256
MK014,,,,
JA053,73500,73500,,
MK054,30333,94500,78,6583
MK068,,,,
JA069,84000,84000,16408,15537
AS153,,51100,,4814
MK020,98000,80500,27217,30337
