name,code,q1_sales,q2_sales,q1_vol,q2_vol,q1_net,q2_net,q1_margin,q2_margin,q1_staff,q2_staff,q2_darb,q1_darb,q2_owner,q1_owner,terms
أبو وافي,MK033,7649675,5978632,4362356,3410759,193001,143676,2.5,2.4,38,33,18678,28950,124998,164051,نسبة ١٥٪ في ر١ ثم ١٣٪ في ر٢
أحلى مسا,MK028,7957528,7010487,4104111,3624705,362198,267281,4.6,3.8,36,36,102784,117311,164497,244887,عمولة ٠٫٠٣ بنزين · ٠٫٠١٥ ديزل
الأجاويد,MK071,3033342,3320850,1623305,1783599,95402,119629,3.1,3.6,18,18,23926,19080,95703,76321,نسبة ٢٠٪ ثابتة
البيعة,MK099,,,778238,894334,45968,52787,,,,,,,52787,45968,عمولة لتر فقط ٠٫٠٦ بنزين · ٠٫٠١٥ ديزل — تحت مسمى نسبة المالك
الجعرانة,MK064,4544806,4422661,2482613,2394191,129578,119319,2.9,2.7,30,25,61224,61922,58095,67655,عمولة ٠٫٠٣ بنزين · ٠٫٠١٥ ديزل
الجمعية,MK035,3932845,4579569,2102148,2468597,136774,177835,3.5,3.9,18,18,35567,27355,142268,109419,نسبة ٢٠٪ ثابتة
الجموم,MK068,,,1803115,1708786,130387,120967,,,,,,,120967,130387,عمولة لتر فقط ٠٫٠٨ بنزين · ٠٫٠٢ ديزل — تحت مسمى نسبة المالك
الحليس,MK046,8130579,8694181,4437805,4764070,304825,313375,3.7,3.6,34,36,116558,109862,196817,194963,عمولة ٠٫٠٣ بنزين · ٠٫٠١٥ ديزل
الدائري الشمالي,RY075,6315203,7351302,3290913,3827940,238105,287219,3.8,3.9,30,30,57444,47621,229775,190484,نسبة ٢٠٪ ثابتة
الرصيفة,MK016,5684187,5115259,2904948,2611625,247404,214310,4.4,4.2,33,29,53577,61851,160732,185553,نسبة ٢٥٪ ثابتة
ممشى الشوقية,MK020,4536406,4777169,2309336,2431417,161698,184802,3.6,3.9,28,23,60785,57733,124017,103965,عمولة ٠٫٠٢٥ بنزين · ٠٫٠١٥ ديزل — دون المعياري
القادسية,MK047,8197921,7796113,4472655,4234727,314127,305040,3.8,3.9,33,31,106868,111642,198172,202485,عمولة ٠٫٠٣ بنزين · ٠٫٠١٥ ديزل
القسوم,JA041,,2150813,,1111929,,30748,,1.4,,16,4612,,26136,,نسبة ١٥٪ — محطة جديدة في ر٢
بريدة القصيم,QS055,2510791,2554762,1400083,1447839,60508,27133,2.4,1.1,18,18,5427,12102,21706,48407,نسبة ٢٠٪ ثابتة
الكر النازل,MK084,3125576,2760743,1634115,1441961,99193,81831,3.2,3.0,24,21,40435,45887,41396,53306,عمولة ٠٫٠٣ بنزين · ٠٫٠١٥ ديزل
الكوثر,MK100,1410031,1489789,779165,822350,30204,30859,2.1,2.1,12,12,6172,6041,24687,24163,نسبة ٢٠٪ ثابتة
الملك خالد,MK093,2616390,2863669,1355996,1483276,94729,101451,3.6,3.5,17,15,41708,38083,59743,56645,عمولة ٠٫٠٣ بنزين · ٠٫٠١ ديزل — دون المعياري
المودة الروابي,JA056,1070511,1288142,573437,688372,6204,20580,0.6,1.6,12,12,4116,1241,16464,4963,نسبة ٢٠٪ ثابتة
بن درويش,MK023,3038405,2700766,1548580,1376226,105623,115715,3.5,4.3,20,14,23143,21125,92572,84498,نسبة ٢٠٪ ثابتة
حائل العريفي,HA043,1406710,1382515,726195,716645,6648,6521,0.5,0.5,18,18,20411,20875,-13890,-14227,عمولة ٠٫٠٣ · ٠٫٠١٥ — العمولة تتجاوز الربح فيخسر المالك
خليص,MK014,,,2173835,2089097,84146,66940,,,,,,,66940,84146,عمولة لتر فقط ٠٫٠٦ بنزين · ٠٫٠٢ ديزل — تحت مسمى نسبة المالك
صبيا خبت نخلان,JA053,2482548,2486549,1325213,1325693,49026,46503,2.0,1.9,21,21,6975,7354,39528,41672,نسبة ١٥٪ ثابتة
محطة طريق السيل,MK054,946016,4149274,512886,2311916,9059,77515,1.0,1.9,13,27,49793,12375,27723,-3316,عمولة ٠٫٠٣ بنزين · ٠٫٠١ ديزل — دون المعياري · ر١ جزئي ٢٠ يوماً
كورنيش جيزان,JA069,3363012,4013901,1721282,2053365,102022,147356,3.0,3.7,24,24,36839,25505,110517,76516,نسبة ٢٥٪ ثابتة
مدخل محايل,AS153,,2835373,,1470777,,87704,,3.1,,,41374,,46329,,عمولة ٠٫٠٣ · ٠٫٠١٥ — محطة جديدة في ر٢
الذكرى الخالدة,MK029,7413928,7243350,4041498,3860413,256990,268282,3.5,3.7,36,31,49360,47573,218922,209417,عمولة ٠٫٠١٥ بنزين · ٠٫٠٠٥ ديزل — الأدنى في الشبكة
