idx,name,code,region,contract,area,cash_in,shops,lines_petrol,lines_diesel,pumps_petrol,pumps_diesel,tx_jan,tx_feb,tx_mar,tx_apr,tx_jul,avg_daily_sales,staff_day,staff_night,clean_day,clean_night,traffic,supervisor,manager,staff_total,staff_agreed,maint_staff,mosque_m,mosque_f,wc_m,wc_f,ncode,match
1,جبل النور,MK001,مكة,ايجار,2367,No,4,2,0,4,0,48946,110175,,,972855.8300000002,32428.527666666672,4,3,1,1,0,0,1,10,12,,True,False,3,2,MK001,مباشر
2,المعيصم ,MK002,مكة,ايجار,7071,No,16,5,0,10,0,65827,91994,,,354954.5300000001,11831.81766666667,2,2,1,1,0,0,1,7,8,,True,True,8,5,MK002,مباشر
3,العوالي ,MK003,مكة,ايجار,7071,Yes,47,3,0,21,0,109105,207809,5737,116447,2819914.420000001,93997.14733333336,12,10,8,7,2,1,2,42,39,2صيانة,True,True,7,3,MK003,مباشر
4,عاصفة الصحراء ,MK004,الطائف,ايجار,20966,Yes,,3,2,7,5,67706,133110,,67299,2782631.5999999996,92754.38666666666,7,7,2,1,0,0,2,19,20,2لجميع المحطات,True,True,20,10,MK004,مباشر
5,الشيباني ,MK005,الطائف,ايجار,9029,Yes,,3,0,9,0,50520,100767,,2741,1358464.8699999999,45282.16233333333,6,5,2,2,1,0,2,18,16,2لجميع المحطات,True,True,5,2,MK005,مباشر
6,جنوب الطائف ,MK006,الطائف,ايجار,4735,No,,3,0,12,0,42212,85091,,,1445789.2800000005,48192.97600000002,5,4,1,1,0,0,2,13,12,2لجميع المحطات,False,False,4,2,MK006,مباشر
7,جنوب الحسينية ,MK008,مكة,ايجار,3408,Yes,,2,0,6,0,56786,112071,,13388,1693542.96,56451.432,3,2,1,1,0,0,2,9,10,,False,False,3,0,MK008,مباشر
8,جدة النسيم ,MK015,جدة,ايجار,5618,Yes,,4,0,12,0,64900,128306,,9242,1193382.2,39779.40666666666,8,8,1,1,0,0,2,20,14,1 لجميع محطات جدة,False,False,2,0,MK015,مباشر
9,الرصيفة ,MK016,مكة,تشغيل,4343.5,No,,3,0,9,0,51175,102112,,,815949.8100000002,27198.327000000005,5,4,1,0,0,0,1,11,11,,False,False,3,2,MK016,مباشر
10,عرفات الشوقية ,MK017,مكة,ايجار,3625,No,,3,0,9,0,36621,72858,,,697893.6900000001,23263.123000000003,3,3,1,0,0,0,2,9,9,,True,False,2,0,MK017,مباشر
11,الرصيفة مسار ,MK018,مكة,ايجار,1463,No,,1,0,4,4,44617,103411,448,,721805.0500000002,24060.16833333334,2,2,1,0,0,0,1,6,7,,False,False,2,1,MK018,مباشر
12,عرفات الشرائع ,MK019,مكة,ايجار,3270,No,,3,0,6,0,25167,36890,,,244983.57,8166.119000000001,2,2,0,0,0,0,1,5,6,,True,False,2,0,MK019,مباشر
13,ممشى الشوقية ,MK020,مكة,تشغيل,4338,No,,2,0,4,0,41048,80702,,,752785.58,25092.852666666666,3,3,1,1,0,0,1,9,10,,True,False,4,2,MK020,مباشر
14,بطحاء قريش ,MK022,مكة,ايجار,3693,No,,3,0,6,0,22771,48339,,,648319.057,21610.635233333334,3,3,1,0,0,0,1,8,9,,False,False,2,2,MK022,مباشر
15,بن درويش,MK023,مكة,تشغيل,4488,No,,2,0,4,0,26041,52739,,,404531.0800000001,13484.369333333336,2,2,1,1,0,0,1,7,7,,False,False,2,0,MK023,مباشر
16,الخرج غرناطة,RY024,الرياض,ايجار,7000,No,,3,0,9,0,14581,28222,,,465386.0739999999,15512.86913333333,3,2,0,1,0,0,1,7,6,,False,False,3,2,RY024,مباشر
17,الخرج الحمراء,RY025,الرياض,ايجار,3633,No,,3,0,9,6,23543,47270,,,657367.81,21912.260333333335,3,2,1,0,0,0,1,7,7,,False,False,2,2,RY025,مباشر
