code,name,city,region,supply_source,cap_91,cap_95,cap_98,cap_diesel
AS153,مدخل محايل,محايل عسير Mahayil Asir,الغربية,شمال جيزان,65000,65000,0,65000
BH050,الاطاولة القرى,الباحة Al-Baha,الغربية,شمال جدة,42000,42000,0,42000
EP051,كورنيش الخبر,الخبر khobar,الشرقية,محطة الجبيل,60000,60000,0,60000
HA043,العريفي,حائل Hail,الوسطى,محطة القصيم,80000,80000,0,80000
JA041,القسوم,احد المسارحه Ahad al Masarihah,الغربية,شمال جيزان,80000,80000,0,140000
JA053,خبت نخلان,صبياء Sabya,الغربية,محطة جازان,61000,61000,0,122000
JA056,المودة,جيزان Jizan,الغربية,محطة جازان,80000,80000,0,80000
JA060,مسارات صامطة,صامطة Samtah,الغربية,محطة جازان,60000,60000,0,60000
JA061,مسارات صبيا,صبياء Sabya,الغربية,شمال جيزان,60000,60000,0,60000
JA069,كورنيش جيزان,جيزان Jizan,الغربية,شمال جيزان,60000,60000,0,60000
MK001,جبل النور,مكة المكرمة Makkah,الغربية,شمال جدة,160000,80000,0,0
MK002,المعيصم,مكة المكرمة Makkah,الغربية,شمال جدة,160000,80000,0,0
MK003,العوالي,مكة المكرمة Makkah,الغربية,شمال جدة,360000,120000,0,0
MK004,عاصفة الصحراء,الطائف Al Taif,الغربية,شمال جدة,230000,115000,0,555000
MK005,الحلقة الشرقية,الطائف Al Taif,الغربية,شمال جدة,230000,115000,0,0
MK006,العنود,الطائف Al Taif,الغربية,شمال جدة,160000,80000,0,0
MK007,النورية,مكة المكرمة Makkah,الغربية,شمال جدة,160000,80000,0,80000
MK008,جنوب الحسينية,مكة المكرمة Makkah,الغربية,شمال جدة,50000,50000,0,124000
MK014,خليص,خليص Khulais,الغربية,شمال جدة,50000,50000,0,50000
MK015,النسيم جدة,جدة jeddah,الغربية,شمال جدة,115000,115000,115000,0
MK016,الرصيفة,مكة المكرمة Makkah,الغربية,شمال جدة,230000,115000,0,0
MK017,عرفات الشوقية,مكة المكرمة Makkah,الغربية,شمال جدة,160000,80000,0,0
MK018,المسار,مكة المكرمة Makkah,الغربية,شمال جدة,80000,60000,0,60000
MK019,عرفات الشرائع,مكة المكرمة Makkah,الغربية,شمال جدة,230000,115000,0,0
MK020,ممشى الشوقية,مكة المكرمة Makkah,الغربية,شمال جدة,80000,80000,0,0
MK022,بطحاء قريش الدائري الرابع,مكة المكرمة Makkah,الغربية,شمال جدة,80000,80000,0,80000
MK023,الفردوس,مكة المكرمة Makkah,الغربية,شمال جدة,160000,80000,0,0
MK028,احلى مساء,الطائف Al Taif,الغربية,شمال جدة,80000,80000,0,60000
MK029,الخالدية مكة,مكة المكرمة Makkah,الغربية,شمال جدة,80000,80000,0,80000
MK031,طريق القاضي,مكة المكرمة Makkah,الغربية,شمال جدة,80000,60000,0,60000
MK033,النوريه حي الفتح,مكة المكرمة Makkah,الغربية,شمال جدة,80000,80000,0,240000
MK035,دائري الطائف,الطائف Al Taif,الغربية,شمال جدة,60000,60000,0,60000
MK046,ليه,الطائف Al Taif,الغربية,شمال جدة,80000,60000,0,60000
MK047,القادسية,مكة المكرمة Makkah,الغربية,شمال جدة,60000,80000,0,80000
MK054,محطة طريق السيل,مكة المكرمة Makkah,الغربية,شمال جدة,80000,65000,0,320000
MK063,الردف,الطائف Al Taif,الغربية,شمال جدة,60000,60000,0,60000
MK064,جعرانه,مكة المكرمة Makkah,الغربية,شمال جدة,80000,60000,0,60000
MK068,الجموم الكنيدري,الجموم Al Jumum,الغربية,شمال جدة,60000,60000,0,60000
MK071,الاجاويد,جدة jeddah,الغربية,شمال جدة,60000,60000,0,40000
MK072,العزيزية بن دهيش,مكة المكرمة Makkah,الغربية,شمال جدة,60000,60000,0,60000
MK084,الكر,مكة المكرمة Makkah,الغربية,شمال جدة,80000,80000,0,80000
MK093,الجال,الطائف Al Taif,الغربية,شمال جدة,60000,60000,0,38000
MK099,البيعه,الطائف Al Taif,الغربية,شمال جدة,60000,60000,0,60000
MK100,الكوثر,جدة jeddah,الغربية,شمال جدة,60000,60000,0,60000
NJ219,المركب,نجرانNajran,الغربية,محطة ابها,65000,65000,0,65000
QS055,الدائري الشرقي,بريدة Bureida,الوسطى,محطة القصيم,60000,60000,0,60000
RY024,الخرج غرناطة,الخرج Al kherj,الوسطى,جنوب الرياض,77000,77000,0,77000
RY025,الحمراء,الخرج Al kherj,الوسطى,جنوب الرياض,77000,77000,0,75000
RY042,الخزامى الخرج,الخرج Al kherj,الوسطى,شمال الرياض,80000,65000,0,80000
RY075,حي الفلاح,الرياض Riyadh,الوسطى,شمال الرياض,80000,80000,0,80000
