category,name,code,city,contract,total_n,total_leased,total_held,total_vacant,kiosk_n,kiosk_leased,kiosk_held,kiosk_vacant,shop_n,shop_leased,shop_held,shop_vacant,drive_n,drive_leased,drive_held,drive_vacant,carwash_n,carwash_leased,carwash_held,carwash_vacant,market_n,market_leased,market_held,market_vacant,other_n,other_leased,other_held,other_vacant
مشغّلة,جبل النور,MK001,مكة,ايجار,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0
مشغّلة,المعيصم,MK002,مكة,ايجار,18,17,0,1,8,7,0,1,3,3,0,0,4,4,0,0,2,2,0,0,1,1,0,0,0,0,0,0
مشغّلة,العوالي,MK003,مكة,ايجار,48,48,0,0,17,17,0,0,19,19,0,0,6,6,0,0,3,3,0,0,1,1,0,0,2,2,0,0
مشغّلة,جنوب الحسينية,MK008,مكة,ايجار,7,7,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
مشغّلة,الرصيفة 1,MK016,مكة,تشغيل,11,11,0,0,5,5,0,0,2,2,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0
مشغّلة,عرفات الشوقية(الشيخ محمد بن جبير),MK017,مكة,ايجار,9,9,0,0,3,3,0,0,1,1,0,0,1,1,0,0,3,3,0,0,1,1,0,0,0,0,0,0
مشغّلة,عرفات الشرائع,MK019,مكة,ايجار,6,6,0,0,2,2,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0
مشغّلة,بن درويش ( الفردوس ),MK023,مكة,تشغيل,13,13,0,0,3,3,0,0,2,2,0,0,2,2,0,0,5,5,0,0,1,1,0,0,0,0,0,0
مشغّلة,ممشى الشوقية,MK020,مكة,تشغيل,14,14,0,0,3,3,0,0,3,3,0,0,4,4,0,0,3,3,0,0,1,1,0,0,0,0,0,0
مشغّلة,بطحاء قريش  الدائري الرابع,MK022,مكة,ايجار,5,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0
مشغّلة,بطحاء قريش 2(طريق القاضي),MK031,مكه,ايجار,4,4,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
مشغّلة,القادسية(الراشديه),MK037,مكه,تشغيل,6,6,0,0,2,2,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0
مشغّلة,جعرانة,MK064,مكه,تشغيل,11,8,1,3,4,2,1,2,4,3,0,1,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0
مشغّلة,عرفات الرصيفة (مسار),MK018,مكه,ايجار,5,5,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
مشغّلة,الذكرى الخالدة (الخالدية),MK029,مكه,تشغيل,12,12,0,0,2,2,0,0,2,2,0,0,2,2,0,0,4,4,0,0,1,1,0,0,1,1,0,0
مشغّلة,الكر,MK084,مكه,تشغيل,12,6,0,6,4,3,0,1,6,2,0,4,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
مشغّلة,العمرة الجديد (النورية حي الفتح),MK033,مكه,تشغيل,15,11,1,4,4,2,1,2,6,5,0,1,0,0,0,0,4,4,0,0,1,0,0,1,0,0,0,0
