الرمز,المحطة,المنطقة,النظام,عمليات المحطة,عمليات لها عامل,تغطية العامل,عدد العمّال,إيراد المحطة (ر.س),عمليات صباحية,عمليات مسائية,إيراد صباحي (ر.س),إيراد مسائي (ر.س),أيام التشغيل,إيراد/عامل (ر.س),حصة الوردية المسائية
MK007,العمرة الجديدة,مكة,كاش إن,903255.0,903248.0,0.999992250250483,26.0,58264209.09,360951.0,542297.0,23622492.13,34641332.23,212.0,2240916.321538461,0.5945598767420147
MK003,العوالي,مكة,كاش إن + ناتج,740200.0,437146.0,0.5905782221021345,23.0,45452187.58,169830.0,267316.0,10084867.52,17067617.44,212.0,1180542.824347826,0.6285839938828199
MK004,عاصفة الصحراء,الطائف,كاش إن,269614.0,269611.0,0.9999888729813734,16.0,21858587.87,107313.0,162298.0,9018294.92,12839901.75,122.0,1366137.291875,0.5874181637144177
MK033,أبو وافي العمرة,مكة,كاش إن,299155.0,298587.0,0.9981013187143788,15.0,18678267.68,121076.0,177511.0,7380615.32,11079678.28,212.0,1230686.24,0.6001897109588765
RY075,الدائري الشمالي,الرياض,كاش إن + كاش إن (مختصر),248043.0,179213.0,0.7225077909878529,9.0,18394665.04,63554.0,115659.0,4539828.891,8718464.749,212.0,1473143.737777778,0.6575857335589981
JA092,الصفا - أحد المسارحة,جازان,كاش إن,298909.0,298893.0,0.9999464720031849,11.0,12646770.3,115948.0,182945.0,4891502.12,7754953.99,161.0,1149677.828181818,0.6132116319818549
MK064,الجعرانة,مكة,كاش إن,238071.0,237962.0,0.9995421533912152,6.0,12280255.01,94919.0,143043.0,5009393.709999999,7264965.890000001,212.0,2045726.6,0.5918814607647637
MK210,الفلاح - فلسطين,جدة,كاش إن,238689.0,238554.0,0.999434410467177,1.0,11893577.19,91516.0,147038.0,4788336.779999999,7099701.07,178.0,11888037.85,0.5972138682246878
MK046,الحليس - طريق الجنوب,الطائف,كاش إن,157865.0,157843.0,0.9998606404206125,9.0,10734609.73,59444.0,98399.0,4029149.9,6705086.85,86.0,1192692.972222222,0.6246449567082634
MK014,خليص,مكة,كاش إن,88401.0,88398.0,0.9999660637323107,6.0,9944883.17,34660.0,53738.0,3640412.26,6304466.65,212.0,1657479.818333333,0.6339410169851932
MK072,العزيزية,مكة,كاش إن + كاش إن (مختصر),505197.0,210276.0,0.4162257495590829,5.0,24068678.6,88821.0,121455.0,4094742.93,5738525.59,211.0,1966653.704,0.5835827200618335
JA069,كورنيش جيزان,جازان,كاش إن,192862.0,192504.0,0.9981437504536923,10.0,9844948.5,94984.0,97520.0,4544740.26,5285464.23,212.0,983020.4489999998,0.5376759186827456
MK005,الشيباني,الطائف,كاش إن,163034.0,162973.0,0.9996258449157844,10.0,9753536.530000001,61579.0,101394.0,3550652.99,6180778.140000001,94.0,973143.1129999999,0.6351355784603904
